Date Time, Prediction
2017-09-15 00:00,0.930
2017-09-15 00:06,0.905
2017-09-15 00:12,0.880
2017-09-15 00:18,0.857
2017-09-15 00:24,0.834
2017-09-15 00:30,0.812
2017-09-15 00:36,0.792
2017-09-15 00:42,0.772
2017-09-15 00:48,0.754
2017-09-15 00:54,0.737
2017-09-15 01:00,0.721
2017-09-15 01:06,0.706
2017-09-15 01:12,0.693
2017-09-15 01:18,0.681
2017-09-15 01:24,0.670
2017-09-15 01:30,0.660
2017-09-15 01:36,0.652
2017-09-15 01:42,0.645
2017-09-15 01:48,0.640
2017-09-15 01:54,0.635
2017-09-15 02:00,0.632
2017-09-15 02:06,0.630
2017-09-15 02:12,0.630
2017-09-15 02:18,0.630
2017-09-15 02:24,0.632
2017-09-15 02:30,0.635
2017-09-15 02:36,0.639
2017-09-15 02:42,0.644
2017-09-15 02:48,0.649
2017-09-15 02:54,0.656
2017-09-15 03:00,0.664
2017-09-15 03:06,0.673
2017-09-15 03:12,0.682
2017-09-15 03:18,0.692
2017-09-15 03:24,0.703
2017-09-15 03:30,0.715
2017-09-15 03:36,0.727
2017-09-15 03:42,0.740
2017-09-15 03:48,0.753
2017-09-15 03:54,0.767
2017-09-15 04:00,0.781
2017-09-15 04:06,0.796
2017-09-15 04:12,0.811
2017-09-15 04:18,0.826
2017-09-15 04:24,0.841
2017-09-15 04:30,0.857
2017-09-15 04:36,0.873
2017-09-15 04:42,0.889
2017-09-15 04:48,0.905
2017-09-15 04:54,0.921
2017-09-15 05:00,0.938
2017-09-15 05:06,0.954
2017-09-15 05:12,0.970
2017-09-15 05:18,0.986
2017-09-15 05:24,1.001
2017-09-15 05:30,1.017
2017-09-15 05:36,1.032
2017-09-15 05:42,1.047
2017-09-15 05:48,1.061
2017-09-15 05:54,1.075
2017-09-15 06:00,1.088
2017-09-15 06:06,1.100
2017-09-15 06:12,1.112
2017-09-15 06:18,1.123
2017-09-15 06:24,1.134
2017-09-15 06:30,1.143
2017-09-15 06:36,1.152
2017-09-15 06:42,1.160
2017-09-15 06:48,1.166
2017-09-15 06:54,1.172
2017-09-15 07:00,1.176
2017-09-15 07:06,1.179
2017-09-15 07:12,1.181
2017-09-15 07:18,1.182
2017-09-15 07:24,1.182
2017-09-15 07:30,1.180
2017-09-15 07:36,1.177
2017-09-15 07:42,1.172
2017-09-15 07:48,1.167
2017-09-15 07:54,1.159
2017-09-15 08:00,1.151
2017-09-15 08:06,1.141
2017-09-15 08:12,1.130
2017-09-15 08:18,1.118
2017-09-15 08:24,1.104
2017-09-15 08:30,1.089
2017-09-15 08:36,1.073
2017-09-15 08:42,1.056
2017-09-15 08:48,1.037
2017-09-15 08:54,1.018
2017-09-15 09:00,0.997
2017-09-15 09:06,0.976
2017-09-15 09:12,0.953
2017-09-15 09:18,0.930
2017-09-15 09:24,0.906
2017-09-15 09:30,0.881
2017-09-15 09:36,0.855
2017-09-15 09:42,0.829
2017-09-15 09:48,0.802
2017-09-15 09:54,0.775
2017-09-15 10:00,0.747
2017-09-15 10:06,0.719
2017-09-15 10:12,0.691
2017-09-15 10:18,0.663
2017-09-15 10:24,0.634
2017-09-15 10:30,0.606
2017-09-15 10:36,0.577
2017-09-15 10:42,0.548
2017-09-15 10:48,0.520
2017-09-15 10:54,0.492
2017-09-15 11:00,0.464
2017-09-15 11:06,0.436
2017-09-15 11:12,0.409
2017-09-15 11:18,0.383
2017-09-15 11:24,0.357
2017-09-15 11:30,0.332
2017-09-15 11:36,0.307
2017-09-15 11:42,0.283
2017-09-15 11:48,0.261
2017-09-15 11:54,0.239
2017-09-15 12:00,0.218
2017-09-15 12:06,0.198
2017-09-15 12:12,0.179
2017-09-15 12:18,0.162
2017-09-15 12:24,0.146
2017-09-15 12:30,0.131
2017-09-15 12:36,0.118
2017-09-15 12:42,0.106
2017-09-15 12:48,0.096
2017-09-15 12:54,0.087
2017-09-15 13:00,0.080
2017-09-15 13:06,0.075
2017-09-15 13:12,0.071
2017-09-15 13:18,0.069
2017-09-15 13:24,0.069
2017-09-15 13:30,0.070
2017-09-15 13:36,0.074
2017-09-15 13:42,0.079
2017-09-15 13:48,0.086
2017-09-15 13:54,0.095
2017-09-15 14:00,0.105
2017-09-15 14:06,0.118
2017-09-15 14:12,0.132
2017-09-15 14:18,0.147
2017-09-15 14:24,0.165
2017-09-15 14:30,0.184
2017-09-15 14:36,0.204
2017-09-15 14:42,0.227
2017-09-15 14:48,0.250
2017-09-15 14:54,0.275
2017-09-15 15:00,0.302
2017-09-15 15:06,0.329
2017-09-15 15:12,0.358
2017-09-15 15:18,0.389
2017-09-15 15:24,0.420
2017-09-15 15:30,0.452
2017-09-15 15:36,0.485
2017-09-15 15:42,0.520
2017-09-15 15:48,0.555
2017-09-15 15:54,0.590
2017-09-15 16:00,0.627
2017-09-15 16:06,0.664
2017-09-15 16:12,0.702
2017-09-15 16:18,0.740
2017-09-15 16:24,0.778
2017-09-15 16:30,0.817
2017-09-15 16:36,0.856
2017-09-15 16:42,0.896
2017-09-15 16:48,0.935
