Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-09-15 00:00,1.142,0.325,0,0,0,0,v
2017-09-15 00:06,1.033,0.331,0,0,0,0,v
2017-09-15 00:12,1.070,0.289,0,0,0,0,v
2017-09-15 00:18,1.047,0.246,0,0,0,0,v
2017-09-15 00:24,1.027,0.269,0,0,0,0,v
2017-09-15 00:30,1.004,0.315,0,0,0,0,v
2017-09-15 00:36,0.971,0.308,0,0,0,0,v
2017-09-15 00:42,1.004,0.328,0,0,0,0,v
2017-09-15 00:48,0.892,0.292,0,0,0,0,v
2017-09-15 00:54,0.922,0.312,0,0,0,0,v
2017-09-15 01:00,0.902,0.302,0,0,0,0,v
2017-09-15 01:06,0.850,0.328,0,0,0,0,v
2017-09-15 01:12,0.860,0.292,0,0,0,0,v
2017-09-15 01:18,0.807,0.285,0,0,0,0,v
2017-09-15 01:24,0.860,0.289,0,0,0,0,v
2017-09-15 01:30,0.781,0.322,0,0,0,0,v
2017-09-15 01:36,0.814,0.312,0,0,0,0,v
2017-09-15 01:42,0.784,0.253,0,0,0,0,v
2017-09-15 01:48,0.846,0.266,0,0,0,0,v
2017-09-15 01:54,0.758,0.354,0,0,0,0,v
2017-09-15 02:00,0.797,0.276,0,0,0,0,v
2017-09-15 02:06,0.863,0.289,0,0,0,0,v
2017-09-15 02:12,0.843,0.318,0,0,0,0,v
2017-09-15 02:18,0.873,0.331,0,0,0,0,v
2017-09-15 02:24,0.840,0.335,0,0,0,0,v
2017-09-15 02:30,0.833,0.315,0,0,0,0,v
2017-09-15 02:36,0.928,0.315,0,0,0,0,v
2017-09-15 02:42,0.837,0.276,0,0,0,0,v
2017-09-15 02:48,0.958,0.315,0,0,0,0,v
2017-09-15 02:54,0.942,0.292,0,0,0,0,v
2017-09-15 03:00,0.978,0.233,0,0,0,0,v
2017-09-15 03:06,0.896,0.308,0,0,0,0,v
2017-09-15 03:12,0.899,0.318,0,0,0,0,v
2017-09-15 03:18,0.981,0.279,0,0,0,0,v
2017-09-15 03:24,0.912,0.279,0,0,0,0,v
2017-09-15 03:30,1.033,0.312,0,0,0,0,v
2017-09-15 03:36,1.004,0.259,0,0,0,0,v
2017-09-15 03:42,0.994,0.312,0,0,0,0,v
2017-09-15 03:48,1.066,0.289,0,0,0,0,v
2017-09-15 03:54,1.076,0.276,0,0,0,0,v
2017-09-15 04:00,1.073,0.295,0,0,0,0,v
2017-09-15 04:06,1.060,0.328,0,0,0,0,v
2017-09-15 04:12,1.089,0.308,0,0,0,0,v
2017-09-15 04:18,1.148,0.253,0,0,0,0,v
2017-09-15 04:24,1.142,0.318,0,0,0,0,v
2017-09-15 04:30,1.188,0.240,0,0,0,0,v
2017-09-15 04:36,1.188,0.397,0,0,0,0,v
2017-09-15 04:42,1.204,0.295,0,0,0,0,v
2017-09-15 04:48,1.253,0.249,0,0,0,0,v
2017-09-15 04:54,1.234,0.269,0,0,0,0,v
2017-09-15 05:00,1.299,0.299,0,0,0,0,v
2017-09-15 05:06,1.250,0.344,0,0,0,0,v
2017-09-15 05:12,1.316,0.318,0,0,0,0,v
2017-09-15 05:18,1.342,0.269,0,0,0,0,v
2017-09-15 05:24,1.385,0.240,0,0,0,0,v
2017-09-15 05:30,1.417,0.272,0,0,0,0,v
2017-09-15 05:36,1.358,0.338,0,0,0,0,v
2017-09-15 05:42,1.437,0.272,0,0,0,0,v
2017-09-15 05:48,1.486,0.423,1,0,0,0,v
2017-09-15 05:54,1.499,0.341,0,0,0,0,v
2017-09-15 06:00,1.506,0.420,0,0,0,0,v
2017-09-15 06:06,1.545,0.358,0,0,0,0,v
2017-09-15 06:12,1.529,0.331,0,0,0,0,v
2017-09-15 06:18,1.588,0.404,1,0,0,0,v
2017-09-15 06:24,1.545,0.400,0,0,0,0,v
2017-09-15 06:30,1.572,0.420,1,0,0,0,v
2017-09-15 06:36,1.575,0.358,0,0,0,0,v
2017-09-15 06:42,1.644,0.341,0,0,0,0,v
2017-09-15 06:48,1.601,0.463,0,0,0,0,v
2017-09-15 06:54,1.640,0.361,0,0,0,0,v
2017-09-15 07:00,1.568,0.328,0,0,0,0,v
2017-09-15 07:06,1.624,0.358,0,0,0,0,v
2017-09-15 07:12,1.667,0.381,0,0,0,0,v
2017-09-15 07:18,1.604,0.328,1,0,0,0,v
2017-09-15 07:24,1.621,0.364,1,0,0,0,v
2017-09-15 07:30,1.637,0.341,1,0,0,0,v
2017-09-15 07:36,1.634,0.354,0,0,0,0,v
2017-09-15 07:42,1.621,0.440,1,0,0,0,v
2017-09-15 07:48,1.604,0.407,1,0,0,0,v
