# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-09-25 14:00:35 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50023110 LAGO VIVI NR UTUADO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50023110
#            TS   parameter     Description
#        123882       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	123882_00045	123882_00045_cd
5s	15s	20d	6s	14n	10s
USGS	50023110	2017-09-15 00:00	AST	0.00	P
USGS	50023110	2017-09-15 00:15	AST	0.00	P
USGS	50023110	2017-09-15 00:30	AST	0.00	P
USGS	50023110	2017-09-15 00:45	AST	0.00	P
USGS	50023110	2017-09-15 01:00	AST	0.00	P
USGS	50023110	2017-09-15 01:15	AST	0.00	P
USGS	50023110	2017-09-15 01:30	AST	0.00	P
USGS	50023110	2017-09-15 01:45	AST	0.00	P
USGS	50023110	2017-09-15 02:00	AST	0.00	P
USGS	50023110	2017-09-15 02:15	AST	0.00	P
USGS	50023110	2017-09-15 02:30	AST	0.00	P
USGS	50023110	2017-09-15 02:45	AST	0.00	P
USGS	50023110	2017-09-15 03:00	AST	0.00	P
USGS	50023110	2017-09-15 03:15	AST	0.00	P
USGS	50023110	2017-09-15 03:30	AST	0.00	P
USGS	50023110	2017-09-15 03:45	AST	0.00	P
USGS	50023110	2017-09-15 04:00	AST	0.00	P
USGS	50023110	2017-09-15 04:15	AST	0.00	P
USGS	50023110	2017-09-15 04:30	AST	0.00	P
USGS	50023110	2017-09-15 04:45	AST	0.00	P
USGS	50023110	2017-09-15 05:00	AST	0.00	P
USGS	50023110	2017-09-15 05:15	AST	0.00	P
USGS	50023110	2017-09-15 05:30	AST	0.00	P
USGS	50023110	2017-09-15 05:45	AST	0.00	P
USGS	50023110	2017-09-15 06:00	AST	0.00	P
USGS	50023110	2017-09-15 06:15	AST	0.00	P
USGS	50023110	2017-09-15 06:30	AST	0.00	P
USGS	50023110	2017-09-15 06:45	AST	0.00	P
USGS	50023110	2017-09-15 07:00	AST	0.00	P
USGS	50023110	2017-09-15 07:15	AST	0.00	P
USGS	50023110	2017-09-15 07:30	AST	0.00	P
USGS	50023110	2017-09-15 07:45	AST	0.00	P
USGS	50023110	2017-09-15 08:00	AST	0.00	P
USGS	50023110	2017-09-15 08:15	AST	0.00	P
USGS	50023110	2017-09-15 08:30	AST	0.00	P
USGS	50023110	2017-09-15 08:45	AST	0.00	P
USGS	50023110	2017-09-15 09:00	AST	0.00	P
USGS	50023110	2017-09-15 09:15	AST	0.00	P
USGS	50023110	2017-09-15 09:30	AST	0.00	P
USGS	50023110	2017-09-15 09:45	AST	0.00	P
USGS	50023110	2017-09-15 10:00	AST	0.00	P
USGS	50023110	2017-09-15 10:15	AST	0.00	P
USGS	50023110	2017-09-15 10:30	AST	0.00	P
USGS	50023110	2017-09-15 10:45	AST	0.00	P
USGS	50023110	2017-09-15 11:00	AST	0.00	P
USGS	50023110	2017-09-15 11:15	AST	0.00	P
USGS	50023110	2017-09-15 11:30	AST	0.00	P
USGS	50023110	2017-09-15 11:45	AST	0.00	P
USGS	50023110	2017-09-15 12:00	AST	0.00	P
